"headword"	"pos"	"count"	"%"	"words"
"noster, nostra, nostrum"	"ADJ"	9	0.1	"noster; nostro; nostra; nostram"
"novus, nova -um, novior -or -us, novissimus -a -um"	"ADJ"	9	0.1	"novissimo; novum"
"odi, odisse, osus"	"V"	9	0.1	"odit; oderunt; odisse"
"peto, petere, petivi, petitus"	"V"	9	0.1	"petieritis; petite; petetis; petisses; petistis"
"quando"	"ADV"	9	0.1	"quando"
"rogo, rogare, rogavi, rogatus"	"V"	9	0.1	"rogabant; rogabo; rogaverunt; rogabat; rogabitis; rogavit"
"tenebra, tenebrae"	"N"	9	0.1	"tenebrae; tenebris; tenebras"
"tres -es -ia, tertius -a -um, terni -ae -a, ter"	"NUM"	9	0.1	"tertio; tribus; ter; ternas"
"affero, afferre, attuli, allatus"	"V"	8	0.1	"afferatis; affer; afferat; affert; afferte; affertis; attulit"
"aio, -, -"	"V"	8	0.1	"ait"
"caro, carnis"	"N"	8	0.1	"carnem; carnis; carne"
"civitas, civitatis"	"N"	8	0.1	"civitatem; civitate"
"gaudeo, gaudere, gavisus sum"	"V"	8	0.1	"gaudebit; gaudeat; gaudeo; gauderetis; gaudet; gavisi; gavisus"
"magister, magistri"	"N"	8	0.1	"magister"
"mors, mortis"	"N"	8	0.1	"morte; mortem"
"nihil, undeclined"	"N"	8	0.1	"nihil"
"palam"	"ADV"	8	0.1	"palam"
"piscis, piscis"	"N"	8	0.1	"piscibus; piscem; piscium; pisces"
"potestas, potestatis"	"N"	8	0.1	"potestatem"
"princeps, principis"	"N"	8	0.1	"princeps; principes; principibus"
"quidem"	"ADV"	8	0.1	"quidem"
"rabbi, undeclined"	"N"	8	0.1	"rabbi"
"relinquo, relinquere, reliqui, relictus"	"V"	8	0.1	"reliquit; relinquo; relinquam; relinquatis"
"tantus, tanta, tantum"	"ADJ"	8	0.1	"tantum; tanta; tanti; tanto; tantos"
"trans"	"PREP"	8	0.1	"trans"
"Judaeus, Judaea, Judaeum"	"ADJ"	7	0.1	"iudaeam; iudaea"
"Thomas, Thomae"	"N"	7	0.1	"thomas; thomae"
"alter, altera, alterum"	"ADJ"	7	0.1	"altera; alter; alterius"
"aut"	"CONJ"	7	0.1	"aut"
"cor, cordis"	"N"	7	0.1	"cor; corde"
"daemon, daemonis"	"N"	7	0.1	"daemonium"
"dilectio, dilectionis"	"N"	7	0.1	"dilectione; dilectionem; dilectio"
"dimitto, dimittere, dimisi, dimissus"	"V"	7	0.1	"dimittam; dimittere; dimittimus; dimittis; dimittit"
"gratia, gratiae"	"N"	7	0.1	"gratias; gratia; gratiae; gratiam"
"itaque"	"ADV"	7	0.1	"itaque"
"juxta"	"PREP"	7	0.1	"iuxta"
"lapis, lapidis"	"N"	7	0.1	"lapidem; lapides; lapis"
"lego, legere, legi, lectus"	"V"	7	0.1	"lege; legerunt"
"navis, navis"	"N"	7	0.1	"navem; naves; navi; navis"
"operor, operari, operatus sum"	"V"	7	0.1	"operari; operamini; operaris; operatur; operemur; operor"
"ploro, plorare, ploravi, ploratus"	"V"	7	0.1	"ploras; plorabitis; plorans; plorantem; plorantes; ploret"
"proprius, propria, proprium"	"ADJ"	7	0.1	"propria; proprias; propriae; propriam; propriis"
"sanus, sana, sanum"	"ADJ"	7	0.1	"sanus; sanum"
"semper"	"ADV"	7	0.1	"semper"
"tempus, temporis"	"N"	7	0.1	"tempus; tempore"
"vultis"	"X"	7	0.1	"vultis"
"Nathanael"	"N"	6	0.0	"nathanael"
"Samaritanus, Samaritana, Samaritanum"	"ADJ"	6	0.0	"samaritana; samaritani; samaritanis; samaritanorum; samaritanus"
"amicus, amica -um, amicior -or -us, amicissimus -a -um"	"ADJ"	6	0.0	"amicus; amici; amicis; amicos"
"annuntio, annuntiare, annuntiavi, annuntiatus"	"V"	6	0.0	"annuntiabit; annuntiabo; annuntians"
"annus, anni"	"N"	6	0.0	"anni; annos; annis"
"apprehendo, apprehendere, apprehendi, apprehensus"	"V"	6	0.0	"apprehendere; apprehendit; apprehendant; apprehenderent"
"bonum, boni"	"N"	6	0.0	"bona; bonum; boni; bono"
"cibus, cibi"	"N"	6	0.0	"cibum; cibus; cibos"
"corpus, corporis"	"N"	6	0.0	"corpus; corpora; corporis"
"domus, domus"	"N"	6	0.0	"domum; domus"
"duodecim, duodecimus -a -um, duodeni -ae -a, duodecie(n)s"	"NUM"	6	0.0	"duodecim"
"hinc"	"ADV"	6	0.0	"hinc"
